,Time Differencing,nx,nt,Relative L2 Error,Ratio
0,cn,15000,25,0.6723030324966333,None
1,cn,15000,50,0.4731739952061952,1.4208368154375508
2,cn,15000,100,0.33144358891209,1.427615470733081
3,cn,15000,200,0.22993982785023817,1.4414361879402735
4,cn,15000,400,0.15638661665114323,1.4703293208470167
5,cn,15000,800,0.1019780515937957,1.533532110164946
6,cn,15000,1600,0.06052124299587124,1.6849959872891678
