,Time Differencing,nx,nt,Relative L2 Error,Ratio
0,bfd2,15000,25,0.0005996860206006057,None
1,bfd2,15000,50,0.00014517099713986105,4.130894134610473
2,bfd2,15000,100,3.599093563789914e-05,4.033543295467796
3,bfd2,15000,200,8.977157477863861e-06,4.009168350521493
4,bfd2,15000,400,2.2413536606655844e-06,4.005239171045428
5,bfd2,15000,800,5.608479101906816e-07,3.996366251776798
6,bfd2,15000,1600,1.394532413283813e-07,4.021763172001214
