,Time Differencing,nx,nt,Relative L2 Error,Ratio
0,cn,15000,25,0.0010259083092729868,None
1,cn,15000,50,0.0002563918936283749,4.001328960735323
2,cn,15000,100,6.409005506656342e-05,4.000494200887927
3,cn,15000,200,1.601913776264358e-05,4.000842992687196
4,cn,15000,400,4.002347349219221e-06,4.00243566210429
5,cn,15000,800,9.974208105196455e-07,4.012696854734805
6,cn,15000,1600,2.4585618925467967e-07,4.056927806224266
