,Time Differencing,nx,nt,Relative L2 Error,Ratio
0,bfd1,15000,25,0.07686480496604954,None
1,bfd1,15000,50,0.03869757413690026,1.9862951794891641
2,bfd1,15000,100,0.019415259714765796,1.993152535964779
3,bfd1,15000,200,0.009724264777068331,1.996578678169138
4,bfd1,15000,400,0.004866293594608703,1.9982897842090137
5,bfd1,15000,800,0.0024341863823556516,1.9991458459723253
6,bfd1,15000,1600,0.0012173543221341186,1.9995709861105433
