,Time Differencing,nx,nt,Relative L2 Error,Ratio
0,cn,15000,25,0.6723030324965016,None
1,cn,15000,50,0.47317399520624326,1.420836815437128
2,cn,15000,100,0.3314435889120244,1.4276154707335087
3,cn,15000,200,0.22993982785027237,1.4414361879397737
4,cn,15000,400,0.15638661665112544,1.4703293208474026
5,cn,15000,800,0.10197805159379753,1.533532110164744
6,cn,15000,1600,0.06052124299587097,1.6849959872892055
